Station_ID,Date_Time,F8379Press,F8379Temp,F8379Humid,F8379Wind
F8379,11/30/2022 23:04 UTC,29.88,36.0,53.0,11.0
F8379,11/30/2022 23:09 UTC,29.87,36.0,54.0,10.0
F8379,11/30/2022 23:14 UTC,29.88,35.0,54.0,5.99
F8379,11/30/2022 23:19 UTC,29.87,35.0,56.0,8.0
F8379,11/30/2022 23:24 UTC,29.87,34.0,56.0,5.0
F8379,11/30/2022 23:29 UTC,29.87,34.0,56.0,5.0
F8379,11/30/2022 23:34 UTC,29.87,34.0,56.0,4.0
F8379,11/30/2022 23:39 UTC,29.88,33.0,57.0,9.0
F8379,11/30/2022 23:44 UTC,29.87,33.0,57.0,5.0
F8379,11/30/2022 23:49 UTC,29.88,32.0,58.0,8.0
F8379,11/30/2022 23:54 UTC,29.87,32.0,58.0,5.0
F8379,11/30/2022 23:59 UTC,29.88,32.0,58.0,8.0
F8379,12/01/2022 00:04 UTC,29.87,31.0,59.0,4.0
F8379,12/01/2022 00:09 UTC,29.88,32.0,57.0,8.0
F8379,12/01/2022 00:14 UTC,29.87,31.0,57.0,8.0
F8379,12/01/2022 00:19 UTC,29.88,32.0,58.0,9.0
F8379,12/01/2022 00:24 UTC,29.87,32.0,56.0,11.0
F8379,12/01/2022 00:29 UTC,29.87,32.0,54.0,14.01
F8379,12/01/2022 00:34 UTC,29.88,32.0,55.0,16.0
F8379,12/01/2022 00:39 UTC,29.89,32.0,56.0,8.0
F8379,12/01/2022 00:44 UTC,29.88,31.0,57.0,12.0
F8379,12/01/2022 00:49 UTC,29.88,31.0,58.0,9.0
F8379,12/01/2022 00:54 UTC,29.88,32.0,54.0,7.0
F8379,12/01/2022 00:59 UTC,29.89,31.0,56.0,10.0
F8379,12/01/2022 01:04 UTC,29.89,31.0,57.0,11.0
F8379,12/01/2022 01:09 UTC,29.89,32.0,55.0,14.01
F8379,12/01/2022 01:14 UTC,29.89,31.0,56.0,8.0
F8379,12/01/2022 01:19 UTC,29.89,30.0,57.0,3.0
F8379,12/01/2022 01:24 UTC,29.9,31.0,57.0,7.0
F8379,12/01/2022 01:29 UTC,29.9,31.0,56.0,5.0
F8379,12/01/2022 01:34 UTC,29.9,30.0,58.0,5.0
F8379,12/01/2022 01:39 UTC,29.9,30.0,57.0,8.0
F8379,12/01/2022 01:44 UTC,29.89,30.0,57.0,7.0
F8379,12/01/2022 01:49 UTC,29.89,30.0,58.0,5.99
F8379,12/01/2022 01:54 UTC,29.9,30.0,59.0,1.0
F8379,12/01/2022 01:59 UTC,29.9,29.0,60.0,7.0
F8379,12/01/2022 02:04 UTC,29.89,30.0,58.0,1.0
F8379,12/01/2022 02:09 UTC,29.9,29.0,59.0,3.0
F8379,12/01/2022 02:14 UTC,29.89,29.0,58.0,7.0
F8379,12/01/2022 02:19 UTC,29.9,29.0,59.0,5.99
F8379,12/01/2022 02:24 UTC,29.89,30.0,58.0,5.0
F8379,12/01/2022 02:29 UTC,29.9,29.0,59.0,5.0
F8379,12/01/2022 02:34 UTC,29.9,29.0,59.0,3.0
F8379,12/01/2022 02:39 UTC,29.9,29.0,61.0,5.0
F8379,12/01/2022 02:44 UTC,29.9,27.0,63.0,1.0
F8379,12/01/2022 02:49 UTC,29.9,27.0,64.0,2.0
F8379,12/01/2022 02:54 UTC,29.89,27.0,65.0,9.0
F8379,12/01/2022 02:59 UTC,29.9,28.0,63.0,0.0
F8379,12/01/2022 03:04 UTC,29.91,27.0,63.0,1.0
F8379,12/01/2022 03:09 UTC,29.89,28.0,61.0,5.0
F8379,12/01/2022 03:15 UTC,29.9,30.0,57.0,4.0
F8379,12/01/2022 03:20 UTC,29.9,30.0,57.0,5.99
F8379,12/01/2022 03:25 UTC,29.89,30.0,58.0,7.0
F8379,12/01/2022 03:30 UTC,29.89,30.0,57.0,3.0
F8379,12/01/2022 03:35 UTC,29.89,30.0,57.0,3.0
F8379,12/01/2022 03:40 UTC,29.9,31.0,56.0,3.0
F8379,12/01/2022 03:45 UTC,29.9,30.0,59.0,9.0
F8379,12/01/2022 03:50 UTC,29.89,30.0,58.0,11.0
F8379,12/01/2022 03:55 UTC,29.9,31.0,56.0,9.0
F8379,12/01/2022 04:00 UTC,29.89,31.0,57.0,9.0
F8379,12/01/2022 04:05 UTC,29.89,30.0,58.0,8.0
F8379,12/01/2022 04:10 UTC,29.89,30.0,58.0,8.0
F8379,12/01/2022 04:15 UTC,29.89,30.0,59.0,9.0
F8379,12/01/2022 04:20 UTC,29.89,30.0,58.0,9.0
F8379,12/01/2022 04:25 UTC,29.89,31.0,58.0,5.0
F8379,12/01/2022 04:30 UTC,29.9,30.0,57.0,8.0
F8379,12/01/2022 04:35 UTC,29.9,30.0,59.0,4.0
F8379,12/01/2022 04:40 UTC,29.89,30.0,58.0,5.99
F8379,12/01/2022 04:45 UTC,29.9,30.0,60.0,8.0
F8379,12/01/2022 04:50 UTC,29.88,30.0,60.0,7.0
F8379,12/01/2022 04:55 UTC,29.89,30.0,61.0,5.0
F8379,12/01/2022 05:00 UTC,29.9,30.0,59.0,10.0
F8379,12/01/2022 05:05 UTC,29.9,29.0,61.0,7.0
F8379,12/01/2022 05:10 UTC,29.9,29.0,60.0,9.0
F8379,12/01/2022 05:15 UTC,29.89,29.0,61.0,8.0
F8379,12/01/2022 05:20 UTC,29.89,29.0,59.0,5.99
F8379,12/01/2022 05:25 UTC,29.89,29.0,60.0,9.0
F8379,12/01/2022 05:30 UTC,29.9,29.0,60.0,11.0
F8379,12/01/2022 05:35 UTC,29.9,29.0,59.0,10.0
F8379,12/01/2022 05:40 UTC,29.9,29.0,60.0,9.0
F8379,12/01/2022 05:45 UTC,29.9,29.0,59.0,5.99
F8379,12/01/2022 05:50 UTC,29.9,29.0,61.0,7.0
F8379,12/01/2022 05:55 UTC,29.9,29.0,61.0,7.0
F8379,12/01/2022 06:00 UTC,29.9,29.0,60.0,9.0
F8379,12/01/2022 06:05 UTC,29.9,29.0,59.0,9.0
F8379,12/01/2022 06:10 UTC,29.9,29.0,60.0,7.0
F8379,12/01/2022 06:15 UTC,29.9,29.0,61.0,9.0
F8379,12/01/2022 06:20 UTC,29.9,30.0,60.0,9.0
F8379,12/01/2022 06:25 UTC,29.9,29.0,60.0,10.0
F8379,12/01/2022 06:30 UTC,29.9,29.0,62.0,5.0
F8379,12/01/2022 06:35 UTC,29.9,30.0,59.0,9.0
F8379,12/01/2022 06:40 UTC,29.89,30.0,60.0,5.0
F8379,12/01/2022 06:45 UTC,29.89,29.0,62.0,11.0
F8379,12/01/2022 06:50 UTC,29.89,29.0,59.0,12.0
F8379,12/01/2022 06:55 UTC,29.9,30.0,60.0,9.0
F8379,12/01/2022 07:00 UTC,29.88,30.0,60.0,7.0
F8379,12/01/2022 07:05 UTC,29.9,30.0,60.0,5.99
F8379,12/01/2022 07:10 UTC,29.88,30.0,61.0,7.0
F8379,12/01/2022 07:15 UTC,29.88,30.0,62.0,8.0
F8379,12/01/2022 07:20 UTC,29.88,30.0,61.0,11.0
F8379,12/01/2022 07:25 UTC,29.87,30.0,63.0,5.99
F8379,12/01/2022 07:30 UTC,29.88,30.0,63.0,7.0
F8379,12/01/2022 07:35 UTC,29.88,30.0,61.0,7.0
F8379,12/01/2022 07:40 UTC,29.88,30.0,62.0,5.0
F8379,12/01/2022 07:45 UTC,29.87,30.0,62.0,5.99
F8379,12/01/2022 07:50 UTC,29.87,30.0,60.0,9.0
F8379,12/01/2022 07:55 UTC,29.87,30.0,62.0,7.0
F8379,12/01/2022 08:00 UTC,29.88,31.0,59.0,7.0
F8379,12/01/2022 08:05 UTC,29.87,30.0,61.0,7.0
F8379,12/01/2022 08:10 UTC,29.87,30.0,61.0,8.0
F8379,12/01/2022 08:15 UTC,29.86,31.0,59.0,12.0
F8379,12/01/2022 08:20 UTC,29.85,32.0,58.0,10.0
F8379,12/01/2022 08:26 UTC,29.85,32.0,60.0,9.0
F8379,12/01/2022 08:31 UTC,29.86,32.0,60.0,7.0
F8379,12/01/2022 08:36 UTC,29.85,32.0,61.0,9.0
F8379,12/01/2022 08:41 UTC,29.85,31.0,61.0,10.0
F8379,12/01/2022 08:46 UTC,29.85,31.0,61.0,18.0
F8379,12/01/2022 08:51 UTC,29.85,32.0,61.0,8.0
F8379,12/01/2022 08:56 UTC,29.85,30.0,63.0,9.0
F8379,12/01/2022 09:01 UTC,29.84,29.0,63.0,10.0
F8379,12/01/2022 09:06 UTC,29.85,30.0,62.0,12.0
F8379,12/01/2022 09:11 UTC,29.85,30.0,62.0,13.0
F8379,12/01/2022 09:16 UTC,29.84,30.0,61.0,12.0
F8379,12/01/2022 09:21 UTC,29.84,30.0,62.0,10.0
F8379,12/01/2022 09:26 UTC,29.85,30.0,62.0,20.0
F8379,12/01/2022 09:31 UTC,29.85,29.0,63.0,11.0
F8379,12/01/2022 09:36 UTC,29.84,30.0,61.0,9.0
F8379,12/01/2022 09:41 UTC,29.85,30.0,62.0,14.99
