Station_ID,Date_Time,KHCRPress,KHCRTemp,KHCRHumid,KHCRWind,KHCRCloud3,KHCRCloud1,KHCRCloud2,KHCRVis
KHCR,11/30/2022 23:15 UTC,29.87,41.0,30.31,10.36,,1.0,,10.0
KHCR,11/30/2022 23:35 UTC,29.87,41.0,27.97,13.81,,1.0,,10.0
KHCR,11/30/2022 23:55 UTC,29.87,37.4,32.19,12.66,,1.0,,10.0
KHCR,12/01/2022 00:15 UTC,29.87,37.4,32.19,10.36,,1.0,,10.0
KHCR,12/01/2022 00:35 UTC,29.88,35.6,34.57,9.21,,1.0,,10.0
KHCR,12/01/2022 00:55 UTC,29.88,35.6,34.57,8.06,,1.0,,10.0
KHCR,12/01/2022 01:15 UTC,29.88,35.6,34.57,11.51,,1.0,,10.0
KHCR,12/01/2022 01:35 UTC,29.88,35.6,34.57,9.21,,1.0,,10.0
KHCR,12/01/2022 01:55 UTC,29.89,35.6,34.57,0.0,,1.0,,10.0
KHCR,12/01/2022 02:15 UTC,29.89,35.6,34.57,8.06,,1.0,,10.0
KHCR,12/01/2022 02:35 UTC,29.89,35.6,34.57,9.21,,1.0,,10.0
KHCR,12/01/2022 02:55 UTC,29.89,35.6,34.57,10.36,,1.0,,10.0
KHCR,12/01/2022 03:15 UTC,29.89,32.0,39.92,6.91,,1.0,,10.0
KHCR,12/01/2022 03:35 UTC,29.89,33.8,37.14,6.91,,1.0,,10.0
KHCR,12/01/2022 03:55 UTC,29.9,32.0,43.26,0.0,,1.0,,10.0
KHCR,12/01/2022 04:15 UTC,29.9,28.4,50.09,0.0,,1.0,,10.0
KHCR,12/01/2022 04:35 UTC,29.9,30.2,46.53,3.45,,1.0,,10.0
KHCR,12/01/2022 04:55 UTC,29.9,28.4,50.09,0.0,,1.0,,10.0
KHCR,12/01/2022 05:15 UTC,29.9,28.4,50.09,0.0,,1.0,,10.0
KHCR,12/01/2022 05:35 UTC,29.9,28.4,50.09,0.0,,1.0,,10.0
KHCR,12/01/2022 05:55 UTC,29.9,26.6,53.94,0.0,,1.0,,10.0
KHCR,12/01/2022 06:15 UTC,29.9,28.4,50.09,0.0,,1.0,,10.0
KHCR,12/01/2022 06:35 UTC,29.9,24.8,58.14,0.0,,1.0,,10.0
KHCR,12/01/2022 06:55 UTC,29.9,26.6,53.94,3.45,,1.0,,10.0
KHCR,12/01/2022 07:15 UTC,29.89,23.0,62.7,0.0,,1.0,,10.0
KHCR,12/01/2022 07:35 UTC,29.88,23.0,62.7,0.0,,1.0,,10.0
KHCR,12/01/2022 07:55 UTC,29.88,23.0,62.7,0.0,,1.0,,10.0
KHCR,12/01/2022 08:15 UTC,29.88,23.0,62.7,0.0,,1.0,,10.0
KHCR,12/01/2022 08:35 UTC,29.87,26.6,58.41,0.0,,1.0,,10.0
KHCR,12/01/2022 08:55 UTC,29.86,28.4,54.23,5.75,,1.0,,10.0
KHCR,12/01/2022 09:15 UTC,29.86,26.6,53.94,3.45,,1.0,,10.0
KHCR,12/01/2022 09:35 UTC,29.86,24.8,58.14,3.45,,1.0,,10.0
KHCR,12/01/2022 09:55 UTC,29.86,26.6,53.94,0.0,,1.0,,10.0
KHCR,12/01/2022 10:15 UTC,29.86,30.2,46.53,5.75,,1.0,,10.0
KHCR,12/01/2022 10:35 UTC,29.86,30.2,46.53,8.06,,1.0,,10.0
KHCR,12/01/2022 10:55 UTC,29.85,30.2,46.53,6.91,,1.0,,10.0
KHCR,12/01/2022 11:15 UTC,29.83,32.0,43.26,12.66,,1.0,,10.0
KHCR,12/01/2022 11:35 UTC,29.83,32.0,43.26,9.21,,1.0,,10.0
KHCR,12/01/2022 11:55 UTC,29.82,30.2,46.53,0.0,,1.0,,10.0
KHCR,12/01/2022 12:15 UTC,29.81,26.6,53.94,3.45,,1.0,,10.0
KHCR,12/01/2022 12:35 UTC,29.81,24.8,58.14,3.45,,1.0,,10.0
KHCR,12/01/2022 12:55 UTC,29.8,26.6,53.94,0.0,,1.0,,10.0
KHCR,12/01/2022 13:15 UTC,29.8,28.4,54.23,4.6,,1.0,,10.0
KHCR,12/01/2022 13:35 UTC,29.79,30.2,50.39,0.0,,1.0,,10.0
KHCR,12/01/2022 13:55 UTC,29.79,28.4,54.23,3.45,,1.0,,10.0
KHCR,12/01/2022 14:15 UTC,29.79,30.2,50.39,4.6,,1.0,,10.0
KHCR,12/01/2022 14:35 UTC,29.79,30.2,50.39,6.91,,1.0,,10.0
KHCR,12/01/2022 14:55 UTC,29.79,30.2,50.39,3.45,,1.0,,10.0
KHCR,12/01/2022 15:15 UTC,29.79,30.2,54.52,0.0,,1.0,,10.0
KHCR,12/01/2022 15:35 UTC,29.79,32.0,50.68,3.45,,1.0,,10.0
KHCR,12/01/2022 15:55 UTC,29.8,32.0,50.68,3.45,,1.0,,10.0
KHCR,12/01/2022 16:15 UTC,29.8,32.0,50.68,3.45,,1.0,,10.0
KHCR,12/01/2022 16:35 UTC,29.79,41.0,32.82,8.06,,1.0,,10.0
KHCR,12/01/2022 16:55 UTC,29.79,42.8,30.62,10.36,,1.0,,10.0
KHCR,12/01/2022 17:15 UTC,29.79,41.0,30.31,11.51,,1.0,,10.0
KHCR,12/01/2022 17:35 UTC,29.8,41.0,30.31,16.11,,1.0,,10.0
KHCR,12/01/2022 17:55 UTC,29.8,41.0,30.31,13.81,,1202.0,,10.0
KHCR,12/01/2022 18:15 UTC,29.8,41.0,30.31,12.66,,1202.0,,10.0
KHCR,12/01/2022 18:35 UTC,29.79,41.0,30.31,14.96,,1203.0,,10.0
KHCR,12/01/2022 18:55 UTC,29.79,41.0,32.82,10.36,,1202.0,,10.0
KHCR,12/01/2022 19:15 UTC,29.78,42.8,30.62,8.06,,1.0,,10.0
KHCR,12/01/2022 19:35 UTC,29.77,42.8,30.62,10.36,,1202.0,,10.0
KHCR,12/01/2022 19:55 UTC,29.75,42.8,30.62,11.51,,1203.0,,10.0
