Station_ID,Date_Time,KPVUPress,KPVUTemp,KPVUHumid,KPVUWind,KPVUCloud3,KPVUCloud1,KPVUCloud2,KPVUVis
KPVU,11/30/2022 23:00 UTC,29.9,44.6,30.92,11.51,,1.0,,10.0
KPVU,11/30/2022 23:05 UTC,29.9,44.6,30.92,9.21,,1.0,,10.0
KPVU,11/30/2022 23:10 UTC,29.9,44.6,30.92,9.21,,1.0,,10.0
KPVU,11/30/2022 23:15 UTC,29.9,44.6,30.92,11.51,,1.0,,10.0
KPVU,11/30/2022 23:20 UTC,29.9,44.6,30.92,11.51,,1.0,,10.0
KPVU,11/30/2022 23:25 UTC,29.9,42.8,33.13,12.66,,1.0,,10.0
KPVU,11/30/2022 23:30 UTC,29.9,42.8,33.13,13.81,,1.0,,10.0
KPVU,11/30/2022 23:35 UTC,29.9,42.8,33.13,12.66,,1.0,,10.0
KPVU,11/30/2022 23:40 UTC,29.9,41.0,35.51,12.66,,1.0,,10.0
KPVU,11/30/2022 23:45 UTC,29.9,41.0,35.51,12.66,,1.0,,10.0
KPVU,11/30/2022 23:50 UTC,29.9,39.2,38.08,13.81,,1.0,,10.0
KPVU,11/30/2022 23:55 UTC,29.9,39.2,38.08,14.96,,1.0,,10.0
KPVU,11/30/2022 23:56 UTC,29.9,39.02,38.65,16.11,,1.0,,10.0
KPVU,12/01/2022 00:00 UTC,29.9,39.2,38.08,13.81,,1.0,,10.0
KPVU,12/01/2022 00:05 UTC,29.9,39.2,38.08,13.81,,1.0,,10.0
KPVU,12/01/2022 00:10 UTC,29.9,39.2,38.08,14.96,,1.0,,10.0
KPVU,12/01/2022 00:15 UTC,29.9,39.2,38.08,13.81,,1.0,,10.0
KPVU,12/01/2022 00:20 UTC,29.9,37.4,40.87,13.81,,1.0,,10.0
KPVU,12/01/2022 00:25 UTC,29.9,35.6,43.88,14.96,,1.0,,10.0
KPVU,12/01/2022 00:30 UTC,29.9,37.4,40.87,14.96,,1.0,,10.0
KPVU,12/01/2022 00:35 UTC,29.9,37.4,40.87,14.96,,1.0,,10.0
KPVU,12/01/2022 00:40 UTC,29.9,39.2,38.08,16.11,,1.0,,10.0
KPVU,12/01/2022 00:45 UTC,29.9,39.2,35.2,16.11,,1.0,,10.0
KPVU,12/01/2022 00:50 UTC,29.9,39.2,32.51,17.26,,1.0,,10.0
KPVU,12/01/2022 00:55 UTC,29.91,39.2,35.2,13.81,,1.0,,10.0
KPVU,12/01/2022 00:56 UTC,29.91,37.94,36.98,13.81,,1.0,,10.0
KPVU,12/01/2022 01:00 UTC,29.91,37.4,40.87,13.81,,1.0,,10.0
KPVU,12/01/2022 01:05 UTC,29.91,37.4,40.87,9.21,,1.0,,10.0
KPVU,12/01/2022 01:10 UTC,29.91,35.6,43.88,9.21,,1.0,,10.0
KPVU,12/01/2022 01:15 UTC,29.91,35.6,43.88,9.21,,1.0,,10.0
KPVU,12/01/2022 01:20 UTC,29.91,35.6,43.88,12.66,,1.0,,10.0
KPVU,12/01/2022 01:25 UTC,29.9,37.4,40.87,14.96,,1.0,,10.0
KPVU,12/01/2022 01:30 UTC,29.9,37.4,37.77,17.26,,1.0,,10.0
KPVU,12/01/2022 01:35 UTC,29.9,37.4,37.77,14.96,,1.0,,10.0
KPVU,12/01/2022 01:40 UTC,29.9,37.4,37.77,14.96,,1.0,,10.0
KPVU,12/01/2022 01:45 UTC,29.91,37.4,37.77,17.26,,1.0,,10.0
KPVU,12/01/2022 01:50 UTC,29.91,37.4,37.77,14.96,,1.0,,10.0
KPVU,12/01/2022 01:55 UTC,29.91,37.4,37.77,13.81,,1.0,,10.0
KPVU,12/01/2022 01:56 UTC,29.91,37.04,38.31,12.66,,1.0,,10.0
KPVU,12/01/2022 02:00 UTC,29.91,37.4,37.77,14.96,,1.0,,10.0
KPVU,12/01/2022 02:05 UTC,29.9,37.4,37.77,13.81,,1.0,,10.0
KPVU,12/01/2022 02:10 UTC,29.9,37.4,37.77,14.96,,1.0,,10.0
KPVU,12/01/2022 02:15 UTC,29.9,37.4,37.77,13.81,,1.0,,10.0
KPVU,12/01/2022 02:20 UTC,29.9,37.4,37.77,14.96,,1.0,,10.0
KPVU,12/01/2022 02:25 UTC,29.9,39.2,32.51,16.11,,1.0,,10.0
KPVU,12/01/2022 02:30 UTC,29.9,37.4,37.77,18.41,,1.0,,10.0
KPVU,12/01/2022 02:35 UTC,29.9,37.4,37.77,18.41,,1.0,,10.0
KPVU,12/01/2022 02:40 UTC,29.9,37.4,37.77,16.11,,1.0,,10.0
KPVU,12/01/2022 02:45 UTC,29.9,37.4,37.77,16.11,,1.0,,10.0
KPVU,12/01/2022 02:50 UTC,29.91,37.4,34.88,16.11,,1.0,,10.0
KPVU,12/01/2022 02:55 UTC,29.91,37.4,34.88,16.11,,1.0,,10.0
KPVU,12/01/2022 02:56 UTC,29.91,37.94,35.26,16.11,,1.0,,10.0
KPVU,12/01/2022 03:00 UTC,29.91,37.4,34.88,13.81,,1.0,,10.0
KPVU,12/01/2022 03:05 UTC,29.91,37.4,34.88,14.96,,1.0,,10.0
KPVU,12/01/2022 03:10 UTC,29.91,37.4,34.88,17.26,,1.0,,10.0
KPVU,12/01/2022 03:15 UTC,29.91,37.4,34.88,16.11,,1.0,,10.0
KPVU,12/01/2022 03:20 UTC,29.91,37.4,37.77,16.11,,1.0,,10.0
KPVU,12/01/2022 03:25 UTC,29.92,37.4,37.77,13.81,,1.0,,10.0
KPVU,12/01/2022 03:30 UTC,29.92,37.4,37.77,10.36,,1.0,,10.0
KPVU,12/01/2022 03:35 UTC,29.92,37.4,34.88,13.81,,1.0,,10.0
KPVU,12/01/2022 03:40 UTC,29.92,37.4,34.88,16.11,,1.0,,10.0
KPVU,12/01/2022 03:45 UTC,29.92,35.6,37.45,17.26,,1.0,,10.0
KPVU,12/01/2022 03:50 UTC,29.92,37.4,37.77,18.41,,1.0,,10.0
KPVU,12/01/2022 03:55 UTC,29.92,37.4,37.77,17.26,,1.0,,10.0
KPVU,12/01/2022 03:56 UTC,29.92,37.04,38.31,16.11,,1.0,,10.0
KPVU,12/01/2022 04:00 UTC,29.92,37.4,34.88,16.11,,1.0,,10.0
KPVU,12/01/2022 04:05 UTC,29.93,37.4,34.88,14.96,,1.0,,10.0
KPVU,12/01/2022 04:10 UTC,29.92,37.4,34.88,12.66,,1.0,,10.0
KPVU,12/01/2022 04:15 UTC,29.92,37.4,34.88,14.96,,1.0,,10.0
KPVU,12/01/2022 04:20 UTC,29.92,37.4,34.88,14.96,,1.0,,10.0
KPVU,12/01/2022 04:25 UTC,29.93,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 04:30 UTC,29.93,35.6,37.45,11.51,,1.0,,10.0
KPVU,12/01/2022 04:35 UTC,29.92,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 04:40 UTC,29.92,37.4,34.88,14.96,,1.0,,10.0
KPVU,12/01/2022 04:45 UTC,29.92,37.4,34.88,12.66,,1.0,,10.0
KPVU,12/01/2022 04:50 UTC,29.92,37.4,34.88,16.11,,1.0,,10.0
KPVU,12/01/2022 04:55 UTC,29.93,37.4,34.88,12.66,,1.0,,10.0
KPVU,12/01/2022 04:56 UTC,29.93,37.04,36.53,13.81,,1.0,,10.0
KPVU,12/01/2022 05:00 UTC,29.93,37.4,34.88,12.66,,1.0,,10.0
KPVU,12/01/2022 05:05 UTC,29.93,35.6,37.45,11.51,,1.0,,10.0
KPVU,12/01/2022 05:10 UTC,29.93,35.6,37.45,9.21,,1.0,,10.0
KPVU,12/01/2022 05:15 UTC,29.93,35.6,37.45,10.36,,1.0,,10.0
KPVU,12/01/2022 05:20 UTC,29.93,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 05:25 UTC,29.93,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 05:30 UTC,29.93,35.6,40.55,14.96,,1.0,,10.0
KPVU,12/01/2022 05:35 UTC,29.93,35.6,40.55,14.96,,1.0,,10.0
KPVU,12/01/2022 05:40 UTC,29.92,35.6,40.55,16.11,,1.0,,10.0
KPVU,12/01/2022 05:45 UTC,29.93,35.6,40.55,13.81,,1.0,,10.0
KPVU,12/01/2022 05:50 UTC,29.92,35.6,40.55,18.41,,1.0,,10.0
KPVU,12/01/2022 05:55 UTC,29.93,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 05:56 UTC,29.93,35.96,38.12,16.11,,1.0,,10.0
KPVU,12/01/2022 06:00 UTC,29.93,35.6,37.45,17.26,,1.0,,10.0
KPVU,12/01/2022 06:05 UTC,29.93,35.6,37.45,16.11,,1.0,,10.0
KPVU,12/01/2022 06:10 UTC,29.93,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 06:15 UTC,29.92,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 06:25 UTC,29.92,35.6,37.45,17.26,,1.0,,10.0
KPVU,12/01/2022 06:30 UTC,29.92,35.6,37.45,16.11,,1.0,,10.0
KPVU,12/01/2022 06:35 UTC,29.93,37.4,34.88,16.11,,1.0,,10.0
KPVU,12/01/2022 06:40 UTC,29.92,35.6,37.45,17.26,,1.0,,10.0
KPVU,12/01/2022 06:45 UTC,29.93,37.4,34.88,14.96,,1.0,,10.0
KPVU,12/01/2022 06:50 UTC,29.92,37.4,34.88,17.26,,1.0,,10.0
KPVU,12/01/2022 06:55 UTC,29.92,37.4,34.88,17.26,,1.0,,10.0
KPVU,12/01/2022 06:56 UTC,29.92,37.04,35.1,17.26,,1.0,,10.0
KPVU,12/01/2022 07:00 UTC,29.92,37.4,34.88,18.41,,1.0,,10.0
KPVU,12/01/2022 07:05 UTC,29.91,35.6,37.45,19.56,,1.0,,10.0
KPVU,12/01/2022 07:10 UTC,29.91,35.6,37.45,19.56,,1.0,,10.0
KPVU,12/01/2022 07:15 UTC,29.91,35.6,37.45,20.71,,1.0,,10.0
KPVU,12/01/2022 07:20 UTC,29.91,35.6,37.45,19.56,,1.0,,10.0
KPVU,12/01/2022 07:25 UTC,29.91,35.6,37.45,17.26,,1.0,,10.0
KPVU,12/01/2022 07:30 UTC,29.91,33.8,40.24,19.56,,1.0,,10.0
KPVU,12/01/2022 07:35 UTC,29.91,35.6,37.45,19.56,,1.0,,10.0
KPVU,12/01/2022 07:40 UTC,29.91,35.6,37.45,17.26,,1.0,,10.0
KPVU,12/01/2022 07:45 UTC,29.9,33.8,40.24,19.56,,1.0,,10.0
KPVU,12/01/2022 07:50 UTC,29.9,35.6,37.45,21.86,,1.0,,10.0
KPVU,12/01/2022 07:55 UTC,29.91,35.6,37.45,17.26,,1.0,,10.0
KPVU,12/01/2022 07:56 UTC,29.91,35.96,36.63,16.11,,1.0,,10.0
KPVU,12/01/2022 08:00 UTC,29.9,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 08:05 UTC,29.9,35.6,37.45,18.41,,1.0,,10.0
KPVU,12/01/2022 08:10 UTC,29.9,33.8,40.24,17.26,,1.0,,10.0
KPVU,12/01/2022 08:15 UTC,29.9,33.8,40.24,14.96,,1.0,,10.0
KPVU,12/01/2022 08:20 UTC,29.9,33.8,40.24,12.66,,1.0,,10.0
KPVU,12/01/2022 08:25 UTC,29.9,33.8,40.24,13.81,,1.0,,10.0
KPVU,12/01/2022 08:30 UTC,29.89,33.8,40.24,12.66,,1.0,,10.0
KPVU,12/01/2022 08:35 UTC,29.89,33.8,40.24,11.51,,1.0,,10.0
KPVU,12/01/2022 08:40 UTC,29.88,33.8,40.24,14.96,,1.0,,10.0
KPVU,12/01/2022 08:45 UTC,29.88,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 08:50 UTC,29.88,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 08:55 UTC,29.88,35.6,37.45,12.66,,1.0,,10.0
KPVU,12/01/2022 08:56 UTC,29.88,35.06,39.51,13.81,,1.0,,10.0
KPVU,12/01/2022 09:00 UTC,29.88,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 09:05 UTC,29.88,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 09:10 UTC,29.87,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 09:15 UTC,29.88,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 09:20 UTC,29.88,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 09:25 UTC,29.87,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 09:30 UTC,29.87,35.6,37.45,12.66,,1.0,,10.0
KPVU,12/01/2022 09:35 UTC,29.88,35.6,37.45,14.96,,1.0,,10.0
KPVU,12/01/2022 09:40 UTC,29.87,35.6,40.55,12.66,,1.0,,10.0
KPVU,12/01/2022 09:45 UTC,29.88,35.6,37.45,10.36,,1.0,,10.0
KPVU,12/01/2022 09:50 UTC,29.87,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 09:55 UTC,29.87,35.6,37.45,11.51,,1.0,,10.0
KPVU,12/01/2022 09:56 UTC,29.87,35.96,38.12,11.51,,1.0,,10.0
KPVU,12/01/2022 10:00 UTC,29.87,35.6,37.45,11.51,,1.0,,10.0
KPVU,12/01/2022 10:05 UTC,29.86,35.6,37.45,12.66,,1.0,,10.0
KPVU,12/01/2022 10:10 UTC,29.86,35.6,37.45,16.11,,1.0,,10.0
KPVU,12/01/2022 10:15 UTC,29.86,35.6,40.55,12.66,,1.0,,10.0
KPVU,12/01/2022 10:20 UTC,29.86,33.8,43.57,12.66,,1.0,,10.0
KPVU,12/01/2022 10:25 UTC,29.86,33.8,43.57,11.51,,1.0,,10.0
KPVU,12/01/2022 10:30 UTC,29.86,33.8,43.57,13.81,,1.0,,10.0
KPVU,12/01/2022 10:35 UTC,29.86,33.8,43.57,10.36,,1.0,,10.0
KPVU,12/01/2022 10:40 UTC,29.86,33.8,43.57,13.81,,1.0,,10.0
KPVU,12/01/2022 10:45 UTC,29.86,35.6,40.55,13.81,,1.0,,10.0
KPVU,12/01/2022 10:50 UTC,29.85,35.6,37.45,13.81,,1.0,,10.0
KPVU,12/01/2022 10:55 UTC,29.85,33.8,40.24,14.96,,1.0,,10.0
KPVU,12/01/2022 10:56 UTC,29.85,35.06,39.51,13.81,,1.0,,10.0
KPVU,12/01/2022 11:00 UTC,29.85,35.6,37.45,16.11,,1.0,,10.0
KPVU,12/01/2022 11:05 UTC,29.85,35.6,37.45,16.11,,1.0,,10.0
KPVU,12/01/2022 11:10 UTC,29.84,33.8,40.24,17.26,,1.0,,10.0
KPVU,12/01/2022 11:15 UTC,29.84,33.8,40.24,14.96,,1.0,,10.0
KPVU,12/01/2022 11:20 UTC,29.84,33.8,40.24,14.96,,1.0,,10.0
KPVU,12/01/2022 11:25 UTC,29.84,33.8,40.24,18.41,,1.0,,10.0
KPVU,12/01/2022 11:30 UTC,29.84,33.8,40.24,12.66,,1.0,,10.0
KPVU,12/01/2022 11:35 UTC,29.84,33.8,40.24,16.11,,1.0,,10.0
KPVU,12/01/2022 11:40 UTC,29.84,33.8,40.24,14.96,,1.0,,10.0
KPVU,12/01/2022 11:45 UTC,29.83,33.8,40.24,17.26,,1.0,,10.0
KPVU,12/01/2022 11:50 UTC,29.83,33.8,40.24,20.71,,1.0,,10.0
KPVU,12/01/2022 11:55 UTC,29.83,33.8,40.24,20.71,,1.0,,10.0
KPVU,12/01/2022 11:56 UTC,29.83,33.98,41.25,18.41,,1.0,,10.0
KPVU,12/01/2022 12:00 UTC,29.83,33.8,40.24,18.41,,1.0,,10.0
KPVU,12/01/2022 12:05 UTC,29.83,33.8,40.24,17.26,,1.0,,10.0
KPVU,12/01/2022 12:10 UTC,29.83,33.8,40.24,16.11,,1.0,,10.0
KPVU,12/01/2022 12:15 UTC,29.83,33.8,40.24,14.96,,1.0,,10.0
KPVU,12/01/2022 12:20 UTC,29.82,33.8,43.57,16.11,,1.0,,10.0
KPVU,12/01/2022 12:25 UTC,29.82,33.8,43.57,17.26,,1.0,,10.0
KPVU,12/01/2022 12:30 UTC,29.82,33.8,43.57,12.66,,1.0,,10.0
KPVU,12/01/2022 12:35 UTC,29.81,33.8,43.57,17.26,,1.0,,10.0
KPVU,12/01/2022 12:40 UTC,29.81,33.8,43.57,14.96,,1.0,,10.0
