Station_ID,Date_Time,KSLCPress,KSLCTemp,KSLCHumid,KSLCWind,KSLCCloud3,KSLCCloud1,KSLCCloud2,KSLCVis
KSLC,11/30/2022 23:00 UTC,29.86,41.0,44.8,3.45,,1.0,,10.0
KSLC,11/30/2022 23:05 UTC,29.86,41.0,44.8,3.45,,1.0,,10.0
KSLC,11/30/2022 23:10 UTC,29.86,41.0,48.34,3.45,,1.0,,10.0
KSLC,11/30/2022 23:15 UTC,29.86,41.0,44.8,3.45,,1.0,,10.0
KSLC,11/30/2022 23:20 UTC,29.86,41.0,48.34,5.75,,1.0,,10.0
KSLC,11/30/2022 23:25 UTC,29.85,41.0,46.19,6.91,,1.0,,10.0
KSLC,11/30/2022 23:30 UTC,29.85,39.2,51.85,3.45,,1.0,,10.0
KSLC,11/30/2022 23:35 UTC,29.86,39.2,51.85,0.0,,1.0,,10.0
KSLC,11/30/2022 23:40 UTC,29.86,39.02,49.89,5.75,,1.0,,10.0
KSLC,11/30/2022 23:45 UTC,29.86,37.04,56.43,8.06,,1.0,,10.0
KSLC,11/30/2022 23:50 UTC,29.86,35.96,58.89,11.51,,1.0,,10.0
KSLC,11/30/2022 23:54 UTC,29.86,35.96,56.27,10.36,2203.0,1206.0,1702.0,10.0
KSLC,11/30/2022 23:55 UTC,29.86,35.96,56.27,9.21,,1.0,,10.0
KSLC,12/01/2022 00:00 UTC,29.86,35.96,56.27,9.21,,1.0,,10.0
KSLC,12/01/2022 00:05 UTC,29.86,35.06,58.32,9.21,,1.0,,10.0
KSLC,12/01/2022 00:10 UTC,29.86,33.98,60.88,8.06,,1.0,,10.0
KSLC,12/01/2022 00:15 UTC,29.86,33.98,60.88,6.91,,1.0,,10.0
KSLC,12/01/2022 00:20 UTC,29.86,33.8,59.48,4.6,,1.0,,10.0
KSLC,12/01/2022 00:25 UTC,29.86,33.8,59.48,5.75,,1.0,,10.0
KSLC,12/01/2022 00:30 UTC,29.87,33.8,59.48,6.91,,1.0,,10.0
KSLC,12/01/2022 00:35 UTC,29.87,35.6,55.36,3.45,,1.0,,10.0
KSLC,12/01/2022 00:40 UTC,29.86,33.98,63.72,6.91,,1.0,,10.0
KSLC,12/01/2022 00:45 UTC,29.87,35.6,59.74,3.45,,1.0,,10.0
KSLC,12/01/2022 00:50 UTC,29.87,33.8,64.18,0.0,,1206.0,2003.0,10.0
KSLC,12/01/2022 00:54 UTC,29.87,33.98,63.72,3.45,,1206.0,2003.0,10.0
KSLC,12/01/2022 00:55 UTC,29.87,33.98,63.72,3.45,,1.0,,10.0
KSLC,12/01/2022 01:00 UTC,29.87,33.98,60.88,3.45,,1.0,,10.0
KSLC,12/01/2022 01:05 UTC,29.87,33.08,63.12,5.75,,1.0,,10.0
KSLC,12/01/2022 01:10 UTC,29.87,30.92,68.87,6.91,,1.0,,10.0
KSLC,12/01/2022 01:15 UTC,29.86,33.08,60.75,4.6,,1.0,,10.0
KSLC,12/01/2022 01:20 UTC,29.86,32.0,63.45,0.0,,1.0,,10.0
KSLC,12/01/2022 01:25 UTC,29.86,33.08,60.75,4.6,,1.0,,10.0
KSLC,12/01/2022 01:30 UTC,29.85,33.8,55.08,3.45,,1.0,,10.0
KSLC,12/01/2022 01:35 UTC,29.86,33.8,55.08,0.0,,1.0,,10.0
KSLC,12/01/2022 01:40 UTC,29.85,33.08,60.75,0.0,,1.0,,10.0
KSLC,12/01/2022 01:45 UTC,29.85,33.8,55.08,3.45,,1.0,,10.0
KSLC,12/01/2022 01:50 UTC,29.85,33.8,59.48,4.6,,1206.0,2002.0,10.0
KSLC,12/01/2022 01:54 UTC,29.84,33.08,60.75,4.6,,1206.0,2002.0,10.0
KSLC,12/01/2022 01:55 UTC,29.85,33.08,60.75,4.6,,1.0,,10.0
KSLC,12/01/2022 02:00 UTC,29.84,33.08,63.12,4.6,,1.0,,10.0
KSLC,12/01/2022 02:05 UTC,29.84,32.0,63.94,5.75,,1.0,,10.0
KSLC,12/01/2022 02:10 UTC,29.84,33.08,63.12,5.75,,1.0,,10.0
KSLC,12/01/2022 02:15 UTC,29.84,33.98,60.88,4.6,,1.0,,10.0
KSLC,12/01/2022 02:20 UTC,29.85,33.8,59.48,5.75,,1.0,,10.0
KSLC,12/01/2022 02:25 UTC,29.85,33.98,60.88,5.75,,1.0,,10.0
KSLC,12/01/2022 02:30 UTC,29.85,33.8,59.48,6.91,,1.0,,10.0
KSLC,12/01/2022 02:35 UTC,29.84,33.8,59.48,6.91,,1.0,,10.0
KSLC,12/01/2022 02:40 UTC,29.84,35.06,58.32,6.91,,1.0,,10.0
KSLC,12/01/2022 02:45 UTC,29.84,37.4,51.56,11.51,,1.0,,10.0
KSLC,12/01/2022 02:50 UTC,29.84,42.8,38.71,13.81,,1206.0,2002.0,10.0
