Station_ID,Date_Time,KU42Press,KU42Temp,KU42Humidity,KU42Wind,KU42Cloud3,KU42Cloud1,KU42Cloud2,KU42Vis
KU42,11/30/2022 23:15 UTC,29.86,41.18,47.65,19.56,,1.0,,10.0
KU42,11/30/2022 23:35 UTC,29.86,41.0,47.62,21.86,,1.0,,10.0
KU42,11/30/2022 23:55 UTC,29.86,40.28,48.22,17.26,,1.0,,10.0
KU42,12/01/2022 00:15 UTC,29.86,40.64,47.2,14.96,,1.0,,10.0
KU42,12/01/2022 00:35 UTC,29.87,40.1,48.56,16.11,,1.0,,10.0
KU42,12/01/2022 00:55 UTC,29.87,39.38,50.33,13.81,,1.0,,10.0
KU42,12/01/2022 01:15 UTC,29.87,39.2,51.07,17.26,,1.0,,10.0
KU42,12/01/2022 01:35 UTC,29.86,39.02,51.43,17.26,,1.0,,10.0
KU42,12/01/2022 01:55 UTC,29.85,38.66,52.16,19.56,,1.0,,10.0
KU42,12/01/2022 02:15 UTC,29.86,38.66,51.76,19.56,,1.0,,10.0
KU42,12/01/2022 02:35 UTC,29.86,38.48,51.73,18.41,,1.0,,10.0
KU42,12/01/2022 02:55 UTC,29.87,39.2,49.91,16.11,,1.0,,10.0
KU42,12/01/2022 03:15 UTC,29.86,38.66,51.76,18.41,,1.0,,10.0
KU42,12/01/2022 03:35 UTC,29.86,37.76,54.44,16.11,,1.0,,10.0
KU42,12/01/2022 03:55 UTC,29.86,37.58,54.41,17.26,,1.0,,10.0
KU42,12/01/2022 04:15 UTC,29.87,37.76,52.81,17.26,,1.0,,10.0
KU42,12/01/2022 04:35 UTC,29.88,37.58,54.41,19.56,,1.0,,10.0
KU42,12/01/2022 04:55 UTC,29.87,37.4,54.8,23.02,,1.0,,10.0
KU42,12/01/2022 05:15 UTC,29.88,36.86,56.83,23.02,,1.0,,10.0
KU42,12/01/2022 05:35 UTC,29.87,37.22,56.03,19.56,,1.0,,10.0
KU42,12/01/2022 05:55 UTC,29.87,37.4,56.49,18.41,,1.0,,10.0
KU42,12/01/2022 06:15 UTC,29.88,37.94,55.72,18.41,,1.0,,10.0
KU42,12/01/2022 06:35 UTC,29.86,38.48,54.14,20.71,,1.0,,10.0
KU42,12/01/2022 06:55 UTC,29.86,38.66,54.58,21.86,,1.0,,10.0
KU42,12/01/2022 07:15 UTC,29.86,38.66,53.36,18.41,,1.0,,10.0
KU42,12/01/2022 07:35 UTC,29.85,39.2,51.46,21.86,,1.0,,10.0
KU42,12/01/2022 07:55 UTC,29.84,38.3,53.3,19.56,,1.0,,10.0
KU42,12/01/2022 08:15 UTC,29.83,37.58,55.25,21.86,,1.0,,10.0
KU42,12/01/2022 08:35 UTC,29.82,36.5,58.09,27.62,,1.0,,10.0
KU42,12/01/2022 08:55 UTC,29.82,36.32,58.06,24.17,,1.0,,10.0
KU42,12/01/2022 09:15 UTC,29.82,36.68,56.81,24.17,,1.0,,10.0
KU42,12/01/2022 09:35 UTC,29.82,37.04,55.58,18.41,,1.0,,10.0
KU42,12/01/2022 09:55 UTC,29.81,37.22,53.54,16.11,,1.0,,10.0
KU42,12/01/2022 10:15 UTC,29.8,37.4,53.56,16.11,,1.0,,10.0
KU42,12/01/2022 10:35 UTC,29.79,36.14,57.59,23.02,,1.0,,10.0
KU42,12/01/2022 10:55 UTC,29.78,36.32,57.19,26.47,,1.0,,10.0
KU42,12/01/2022 11:15 UTC,29.77,37.04,54.74,24.17,,1.0,,10.0
KU42,12/01/2022 11:35 UTC,29.77,37.4,55.64,23.02,,1.0,,10.0
KU42,12/01/2022 11:55 UTC,29.76,37.4,56.92,20.71,,1.0,,10.0
KU42,12/01/2022 12:15 UTC,29.75,36.5,56.78,18.41,,1.0,,10.0
KU42,12/01/2022 12:35 UTC,29.74,34.88,61.48,23.02,,1.0,,10.0
KU42,12/01/2022 12:55 UTC,29.74,34.7,63.82,23.02,,1.0,,10.0
KU42,12/01/2022 13:15 UTC,29.75,35.24,64.38,19.56,,1.0,,10.0
KU42,12/01/2022 13:35 UTC,29.74,35.96,61.16,21.86,,1.0,,10.0
KU42,12/01/2022 13:55 UTC,29.74,35.42,62.49,21.86,,1.0,,10.0
KU42,12/01/2022 14:15 UTC,29.73,36.68,59.9,28.77,,1.0,,10.0
KU42,12/01/2022 14:35 UTC,29.74,37.4,60.0,24.17,,1.0,,10.0
KU42,12/01/2022 14:55 UTC,29.74,37.22,56.89,26.47,,1.0,,10.0
KU42,12/01/2022 15:35 UTC,29.74,38.48,55.38,25.32,,1.0,,10.0
KU42,12/01/2022 15:55 UTC,29.75,38.3,57.92,24.17,,1.0,,10.0
KU42,12/01/2022 16:15 UTC,29.75,39.38,54.69,25.32,,1.0,,10.0
KU42,12/01/2022 16:35 UTC,29.74,39.74,55.99,26.47,,1.0,,10.0
KU42,12/01/2022 17:15 UTC,29.74,40.64,52.47,31.07,,1.0,,10.0
KU42,12/01/2022 17:35 UTC,29.74,40.64,53.26,29.92,,1.0,,10.0
KU42,12/01/2022 17:55 UTC,29.74,41.36,52.98,28.77,,1.0,,10.0
KU42,12/01/2022 18:15 UTC,29.75,41.9,53.46,27.62,,1.0,,10.0
KU42,12/01/2022 18:35 UTC,29.75,41.72,54.64,23.02,,1.0,,10.0
KU42,12/01/2022 18:55 UTC,29.74,43.16,52.87,20.71,,1.0,,10.0
KU42,12/01/2022 19:15 UTC,29.73,43.7,51.4,18.41,,1.0,,10.0
KU42,12/01/2022 19:35 UTC,29.72,44.24,49.24,19.56,,1.0,,10.0
KU42,12/01/2022 19:55 UTC,29.71,44.96,48.99,21.86,,1.0,,10.0
