Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1
PC064,11/30/2022 23:00 UTC,29.01,29.6,7.0,170.2,17.39
PC064,11/30/2022 23:10 UTC,28.88,30.7,5.95,161.4,17.64
PC064,11/30/2022 23:20 UTC,28.47,32.45,4.58,139.4,10.18
PC064,11/30/2022 23:30 UTC,27.91,34.56,5.18,163.1,19.13
PC064,11/30/2022 23:40 UTC,27.47,37.42,9.76,137.6,23.72
PC064,11/30/2022 23:50 UTC,27.35,38.78,10.75,139.2,28.57
PC064,12/01/2022 00:00 UTC,27.18,40.19,9.17,148.6,22.47
PC064,12/01/2022 00:10 UTC,26.85,43.0,10.35,149.4,26.58
PC064,12/01/2022 00:20 UTC,26.75,44.58,8.3,146.6,18.26
PC064,12/01/2022 00:30 UTC,26.68,46.09,8.26,153.7,25.96
PC064,12/01/2022 00:40 UTC,27.23,45.36,7.33,183.2,20.62
PC064,12/01/2022 00:50 UTC,27.06,46.03,3.07,150.0,11.43
PC064,12/01/2022 01:00 UTC,27.11,46.75,5.17,148.4,15.4
PC064,12/01/2022 01:10 UTC,27.39,45.54,2.54,147.5,10.93
PC064,12/01/2022 01:20 UTC,27.19,46.34,2.3,145.3,9.56
PC064,12/01/2022 01:30 UTC,27.23,47.38,5.41,138.7,13.91
PC064,12/01/2022 01:40 UTC,27.09,48.73,7.3,136.9,20.24
PC064,12/01/2022 01:50 UTC,27.02,49.31,5.16,142.4,18.63
PC064,12/01/2022 02:00 UTC,27.04,49.22,6.92,148.5,18.26
PC064,12/01/2022 02:10 UTC,27.43,48.43,6.77,161.6,17.02
PC064,12/01/2022 02:20 UTC,27.71,47.81,6.89,139.4,21.24
PC064,12/01/2022 02:30 UTC,27.8,47.31,3.84,188.6,12.54
PC064,12/01/2022 02:40 UTC,27.37,48.31,3.85,148.3,12.54
PC064,12/01/2022 02:50 UTC,27.58,48.03,6.48,172.0,13.54
PC064,12/01/2022 03:00 UTC,27.68,47.77,4.75,168.3,12.42
PC064,12/01/2022 03:10 UTC,27.46,48.96,5.65,158.2,14.03
PC064,12/01/2022 03:20 UTC,27.66,48.49,4.85,147.1,12.78
PC064,12/01/2022 03:30 UTC,27.66,48.48,4.82,186.1,13.91
PC064,12/01/2022 03:40 UTC,27.83,48.09,4.71,189.4,14.41
PC064,12/01/2022 03:50 UTC,27.92,47.19,4.07,162.5,10.31
PC064,12/01/2022 04:00 UTC,27.98,47.16,6.64,148.4,18.26
